eez_id,name,territory,sovereign,centroid_lat,centroid_lon
8437|"Norwegian Exclusive Economic Zone (Jan Mayen)"|"Jan Mayen"|"Norway"|71.114213|-5.251293
8438|"Danish Exclusive Economic Zone (Greenland)"|"Greenland"|"Denmark"|75.479650|-31.970964
8439|"British Exclusive Economic Zone (Pitcairn)"|"Pitcairn"|"United Kingdom"|-24.606227|-127.421310
8440|"French Exclusive Economic Zone (French Polynesia)"|"French Polynesia"|"France"|-18.736345|-144.003273
8441|"Kiribati Exclusive Economic Zone (Line Group)"|"Line Group"|"Kiribati"|-3.821545|-154.726337
8442|"United States Exclusive Economic Zone (Jarvis Islands)"|"Jarvis Island"|"United States"|-0.913995|-160.468386
8443|"United States Exclusive Economic Zone (Palmyra Atoll)"|"Palmyra Atoll"|"United States"|6.687938|-162.898807
8444|"United States Exclusive Economic Zone (American Samoa)"|"American Samoa"|"United States"|-13.854839|-169.063470
8445|"Samoan Exclusive Economic Zone"|"Samoa"|"Samoa"|-13.296866|-172.753721
8446|"New Zealand Exclusive Economic Zone (Cook Islands)"|"Cook Islands"|"New Zealand"|-15.018907|-161.303414
8447|"New Zealand Exclusive Economic Zone (Niue)"|"Niue"|"New Zealand"|-19.523148|-169.331383
8448|"Tongan Exclusive Economic Zone"|"Tonga"|"Tonga"|-20.221749|-174.765861
8449|"New Zealand Exclusive Economic Zone (Tokelau)"|"Tokelau"|"New Zealand"|-8.632573|-172.084955
8450|"Kiribati Exclusive Economic Zone (Phoenix Group)"|"Phoenix Group"|"Kiribati"|-3.731812|-172.453965
8451|"United States Exclusive Economic Zone (Howland and Baker Islands)"|"Howland and Baker Islands"|"United States"|0.791305|-176.727268
8452|"United States Exclusive Economic Zone (Johnston Atoll)"|"Johnston Atoll"|"United States"|16.751091|-169.506117
8453|"United States Exclusive Economic Zone (Hawaii)"|"Hawaii"|"United States"|24.040988|-151.057527
8454|"French Exclusive Economic Zone (Wallis and Futuna)"|"Wallis and Futuna"|"France"|-12.754920|-176.811231
8455|"New Zealand Exclusive Economic Zone"|"New Zealand"|"New Zealand"|-42.766145|71.729344
8456|"United States Exclusive Economic Zone"|"United States"|"United States"|34.762110|-95.821329
8457|"Belizean Exclusive Economic Zone"|"Belize"|"Belize"|17.234439|-87.566012
8459|"Jamaican Exclusive Economic Zone"|"Jamaica"|"Jamaica"|16.668611|-77.290894
8460|"Guyanese Exclusive Economic Zone"|"Guyana"|"Guyana"|8.613377|-57.640945
8461|"Surinamese Exclusive Economic Zone"|"Suriname"|"Suriname"|7.597765|-54.766979
8462|"French Exclusive Economic Zone (French Guiana)"|"French Guiana"|"France"|6.680904|-51.756177
8463|"United States Exclusive Economic Zone (Alaska)"|"Alaska"|"United States"|59.011699|-119.976599
8464|"Brazilian Exclusive Economic Zone"|"Brazil"|"Brazil"|-11.097986|-39.444233
8465|"Chilean Exclusive Economic Zone"|"Chile"|"Chile"|-40.986285|-75.628814
8466|"Argentinian Exclusive Economic Zone"|"Argentina"|"Argentina"|-47.058682|-62.155671
8467|"Uruguayan Exclusive Economic Zone"|"Uruguay"|"Uruguay"|-35.789271|-53.321427
8468|"Qatari Exclusive Economic Zone"|"Qatar"|"Qatar"|25.862363|51.880763
8469|"Iranian Exclusive Economic Zone"|"Iran"|"Iran"|29.781603|53.879360
8470|"Iraqi Exclusive Economic Zone"|"Iraq"|"Iraq"|29.755821|48.581992
8471|"Bissau-Guinean Exclusive Economic Zone"|"Guinea-Bissau"|"Guinea-Bissau"|10.580659|-17.567196
8472|"Guinean Exclusive Economic Zone"|"Guinea"|"Guinea"|9.181139|-15.620507
8473|"Ivorian Exclusive Economic Zone"|"Ivory Coast"|"Ivory Coast"|3.308910|-5.452213
8474|"Nigerian Exclusive Economic Zone"|"Nigeria"|"Nigeria"|4.085125|4.822752
8475|"Cameroonian Exclusive Economic Zone"|"Cameroon"|"Cameroon"|3.462777|9.310891
8476|"Gabonese Exclusive Economic Zone"|"Gabon"|"Gabon"|-3.062541|8.738971
8477|"Congolese (Democratic Republic of) Exclusive Economic Zone"|"Democratic Republic of the Congo"|"Democratic Republic of the Congo"|-6.401526|10.732555
8478|"Angolan Exclusive Economic Zone"|"Angola"|"Angola"|-11.701098|11.035371
8479|"Tanzanian Exclusive Economic Zone"|"Tanzania"|"Tanzania"|-7.210868|41.168597
8480|"Indian Exclusive Economic Zone"|"India"|"India"|14.598072|76.085259
8481|"Bangladeshi Exclusive Economic Zone"|"Bangladesh"|"Bangladesh"|20.475615|90.561529
8482|"Myanma Exclusive Economic Zone"|"Myanmar"|"Myanmar"|14.996514|94.655524
8483|"Malaysian Exclusive Economic Zone"|"Malaysia"|"Malaysia"|5.163671|109.274695
8484|"Vietnamese Exclusive Economic Zone"|"Vietnam"|"Vietnam"|11.603792|108.750247
8485|"Singaporean Exclusive Economic Zone"|"Singapore"|"Singapore"|1.271443|103.826769
8486|"Chinese Exclusive Economic Zone"|"China"|"China"|27.738531|118.145698
8487|"Japanese Exclusive Economic Zone"|"Japan"|"Japan"|29.556556|138.448625
8488|"Kiribati Exclusive Economic Zone (Gilbert Islands)"|"Gilbert Islands"|"Kiribati"|-0.259124|172.782142
8490|"Egyptian Exclusive Economic Zone"|"Egypt"|"Egypt"|30.447599|31.159477
8491|"Jordanian Exclusive Economic Zone"|"Jordan"|"Jordan"|29.435168|34.946834
8492|"Indonesian Exclusive Economic Zone"|"Indonesia"|"Indonesia"|-3.305781|117.891205
8493|"Canadian Exclusive Economic Zone"|"Canada"|"Canada"|68.587555|-89.942363
8494|"French Exclusive Economic Zone (Saint-Pierre and Miquelon)"|"Saint-Pierre and Miquelon"|"France"|45.857191|-56.387009
8495|"French Exclusive Economic Zone (Collectivity of Saint Martin)"|"Collectivity of Saint Martin"|"France"|18.034692|-63.202823
8758|"Timorese Exclusive Economic Zone"|"East Timor"|"East Timor"|-9.781558|126.854097
21787|"Chilean Exclusive Economic Zone (Easter Island)"|"Easter Island"|"Chile"|-26.824000|-107.438688
21788|"British Exclusive Economic Zone (Guernsey)"|"Guernsey"|"United Kingdom"|49.582961|-2.495607
21789|"British Exclusive Economic Zone (Jersey)"|"Jersey"|"United Kingdom"|49.126453|-2.193297
21790|"Monégasque Exclusive Economic Zone"|"Monaco"|"Monaco"|43.348015|7.587680
21791|"Timorese Exclusive Economic Zone (Oecusse)"|"Oecusse"|"East Timor"|-9.049885|124.270747
21792|"Joint regime area: Jamaica / Colombia"|"Jamaica"|"Jamaica"|15.470346|-79.145722
21796|"Joint regime area: South Korea / Japan"|"South Korea"|"South Korea"|30.813959|127.578082
21797|"Joint regime area: São Tomé and Principe / Nigeria"|"São Tomé and Principe"|"São Tomé and Principe"|2.067604|5.586989
21798|"Joint regime area Torres Strait Treaty: Papua New Guinea / Australia"|"Papua New Guinea"|"Papua New Guinea"|-9.539655|142.408819
21803|"Dutch Exclusive Economic Zone (Sint-Maarten)"|"Sint-Maarten"|"Netherlands"|17.938126|-63.122850
22491|"Bosnian and Herzegovinian Exclusive Economic Zone"|"Bosnia and Herzegovina"|"Bosnia and Herzegovina"|42.916560|17.592561
22756|"Chilean Exclusive Economic Zone (Islas San Félix and San Ambrosio)"|"Islas San Félix and San Ambrosio"|"Chile"|-26.330914|-79.990864
26517|"Dutch Exclusive Economic Zone (Curaçao)"|"Curaçao"|"Netherlands"|13.162461|-68.971763
26518|"Dutch Exclusive Economic Zone (Saba)"|"Saba"|"Netherlands"|17.377388|-63.601854
26519|"Dutch Exclusive Economic Zone (Aruba)"|"Aruba"|"Netherlands"|13.741380|-69.673412
26520|"Dutch Exclusive Economic Zone (Bonaire)"|"Bonaire"|"Netherlands"|12.711195|-68.369784
26521|"Bruneian Exclusive Economic Zone"|"Brunei"|"Brunei"|6.062820|113.386076
26522|"Kazakh Exclusive Economic Zone"|"Kazakhstan"|"Kazakhstan"|44.474416|51.014395
26523|"Turkmen Exclusive Economic Zone"|"Turkmenistan"|"Turkmenistan"|39.292322|52.638534
26524|"Azerbaijani Exclusive Economic Zone"|"Azerbaijan"|"Azerbaijan"|40.283505|50.331718
26526|"Dutch Exclusive Economic Zone (Sint-Eustatius)"|"Sint-Eustatius"|"Netherlands"|17.338902|-63.129870
26582|"Overlapping claim Halaib Triangle: Sudan / Egypt"|"Halaib Triangle"|"Sudan"|22.611641|36.879169
33177|"French Exclusive Economic Zone (Guadeloupe)"|"Guadeloupe"|"France"|16.798805|-59.850443
33178|"French Exclusive Economic Zone (Martinique)"|"Martinique"|"France"|14.975115|-60.200546
33179|"United States Exclusive Economic Zone (Puerto Rico)"|"Puerto Rico"|"United States"|17.798210|-66.786875
33180|"United States Exclusive Economic Zone (United States Virgin Islands)"|"United States Virgin Islands"|"United States"|17.254963|-64.924354
33181|"Norwegian Exclusive Economic Zone (Svalbard)"|"Svalbard"|"Norway"|78.713604|18.302772
33185|"Overlapping claim: Guyana / Trinidad and Tobago / Venezuela"|"Guyana"|"Guyana"|10.565390|-57.887116
48943|"Overlapping claim: Canada / United States"|"Canada"|"Canada"|72.033953|-139.852002
48944|"Overlapping claim Mayotte: France / Comores"|"Mayotte"|"France"|-13.216977|45.306562
48945|"Overlapping claim Glorioso Islands: France / Madagascar"|"Glorioso Islands"|"Madagascar"|-11.618102|47.096897
48946|"Overlapping claim Ile Tromelin: France / Madagascar / Republic of Mauritius"|"Ile Tromelin"|"France"|-15.711268|54.673051
48947|"Overlapping claim Abu musa, Greater and Lesser Tunb: United Arab Emirates / Iran"|"Abu musa, Greater and Lesser Tunb"|"United Arab Emirates"|26.012689|55.171803
48948|"Overlapping claim Matthew and Hunter Islands: France / Vanuatu"|"Matthew and Hunter Islands"|"France"|-23.279112|172.036552
48950|"Overlapping claim Kuril Islands: Japan / Russia"|"Kuril Islands"|"Japan"|43.886057|147.961539
48951|"Overlapping claim Navassa Island: United States / Haiti / Jamaica"|"Navassa Island"|"Haiti"|18.338143|-75.183726
48952|"French Exclusive Economic Zone (Saint-Barthélemy)"|"Saint-Barthélemy"|"France"|17.932700|-62.627396
48953|"Palestinian Exclusive Economic Zone"|"Palestine"|"Palestine"|31.569154|34.234438
48954|"Overlapping claim Senkaku Islands: Taiwan / Japan / China"|"Senkaku Islands"|"Taiwan"|26.520803|124.122109
48955|"Overlapping claim Liancourt Rocks: Japan / South Korea"|"Liancourt Rocks"|"Japan"|37.242334|131.866326
48956|"Overlapping claim Doumeira Islands: Eritrea / Djibouti"|"Doumeira Islands"|"Eritrea"|12.758894|43.222207
48957|"United States Exclusive Economic Zone (Guam)"|"Guam"|"United States"|12.929575|144.002608
48961|"Joint regime area: Uruguay / Argentina"|"Uruguay"|"Uruguay"|-36.254933|-55.160957
48962|"Joint regime area: Peru / Ecuador"|"Peru"|"Peru"|-3.388548|-82.532930
48964|"Joint regime area: Senegal / Guinea-Bissau"|"Senegal"|"Senegal"|11.260996|-18.774429
48965|"Overlapping claim: Venezuela / Netherlands (Aruba) / Dominican Republic"|"Venezuela"|"Venezuela"|15.303807|-69.653256
48966|"Joint regime area: Spain / France"|"France"|"France"|45.254167|-5.333333
48967|"Joint regime area: United Kingdom / Denmark (Faeroe Islands)"|"United Kingdom"|"United Kingdom"|60.036085|-7.518577
48968|"Joint regime area: Costa Rica / Ecuador (Galapagos)"|"Costa Rica"|"Costa Rica"|3.226408|-88.841317
48969|"Joint regime area: Barbados / Guyana"|"Barbados"|"Barbados"|10.680794|-57.132140
48970|"Joint regime area: Dominican Republic / Colombia"|"Dominican Republic"|"Dominican Republic"|15.018510|-72.503861
48971|"Overlapping claim: Colombia / Dominican Republic / Venezuela"|"Colombia"|"Colombia"|15.053343|-71.090151
48972|"Joint regime area: Honduras / United Kingdom (Cayman Islands)"|"Honduras"|"Honduras"|18.701111|-83.942222
48973|"Joint regime area: Iceland / Denmark (Faeroe Islands)"|"Faeroe"|"Denmark"|63.152984|-10.982042
48974|"Joint regime area: Ecuador / Colombia"|"Ecuador"|"Ecuador"|1.460583|-81.437118
48975|"Joint regime area: Iceland / Norway (Jan Mayen)"|"Iceland"|"Iceland"|69.291667|-8.500000
48976|"Joint regime area: France / Italy"|"France"|"France"|41.307153|9.048857
48977|"Joint regime area: Sweden / Norway"|"Norway"|"Norway"|58.809981|10.500954
48978|"Joint regime area: United States / Russia"|"United States"|"United States"|61.181123|-17.127240
48980|"United States Exclusive Economic Zone (Northern Mariana Islands)"|"Northern Mariana Islands"|"United States"|18.286598|145.739332
48982|"Overlapping claim: United States (Puerto Rico) / Dominican Republic"|"Puerto Rico"|"United States"|20.894477|-66.841252
48984|"Colombian Exclusive Economic Zone (Serranilla Bank)"|"Serranilla Bank"|"Colombia"|15.797192|-79.855619
48985|"Colombian Exclusive Economic Zone (Bajo Nuevo Bank)"|"Bajo Nuevo Bank"|"Colombia"|15.849994|-78.633330
48997|"Overlapping claim Chafarinas Islands: Spain / Morocco"|"Chafarinas Islands"|"Spain"|35.169904|-2.453559
48998|"Overlapping claim Perejil Island: Spain / Morocco"|"Perejil Island"|"Spain"|35.914648|-5.420107
48999|"Overlapping claim Peñón de Vélez de la Gomera: Spain / Morocco"|"Peñón de Vélez de la Gomera"|"Spain"|35.185251|-4.306088
49000|"Overlapping claim Melilla: Spain / Morocco"|"Melilla"|"Spain"|35.316723|-2.916974
49001|"Overlapping claim Alhucemas Islands: Spain / Morocco"|"Alhucemas Islands"|"Spain"|35.234220|-3.878664
49002|"Overlapping claim Ceuta: Spain / Morocco"|"Ceuta"|"Spain"|35.869094|-5.305511
49003|"Overlapping claim: South China Sea"|"China"|"China"|13.141790|114.101760
50167|"Joint regime area: Croatia / Slovenia"|"Croatia"|"Croatia"|45.497704|13.309329
50170|"Overlapping claim: Qatar / Saudi Arabia / United Arab Emirates"|"Qatar"|"Qatar"|24.692431|51.599859
62589|"Mauritian Exclusive Economic Zone (Chagos Archipelago)"|"Chagos Archipelago"|"Republic of Mauritius"|-6.555934|71.993878
62596|"Colombian Exclusive Economic Zone (Serrana Bank)"|"Serrana Bank"|"Colombia"|14.380875|-80.301849
62598|"Colombian Exclusive Economic Zone (Quitasueño Bank)"|"Quitasueño Bank"|"Colombia"|14.303619|-81.160880
64430|"Overlapping claim: Egypt / Libya"|"Egypt"|"Egypt"|32.812819|25.701634
64431|"Overlapping claim: Belize / Honduras"|"Belize"|"Belize"|16.123163|-88.212890
64440|"Overlapping claim: Malaysia / Singapore"|"Malaysia"|"Malaysia"|1.407776|104.452386
64446|"British Exclusive Economic Zone (Isle of Man)"|"Isle of Man"|"United Kingdom"|54.188180|-4.572034
64459|"Joint regime area: Norway / Russia"|"Norway"|"Norway"|72.924522|37.464567
64460|"Overlapping claim: Iraq / Iran"|"Iraq"|"Iraq"|29.872350|48.692555
